INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
298699604,12/31/2024,19:16:00,BROOKLYN,OUTSIDE,69,0.0,STREET,,False,25-44,M,BLACK,25-44,M,BLACK,"1,015,120","173,870",40.643866,-73.888761,POINT (-73.888761 40.643866)
298699604,12/31/2024,19:16:00,BROOKLYN,OUTSIDE,69,0.0,STREET,,False,25-44,M,BLACK,18-24,M,BLACK,"1,015,120","173,870",40.643866,-73.888761,POINT (-73.888761 40.643866)
298672094,12/30/2024,12:15:00,BRONX,OUTSIDE,52,0.0,STREET,,False,45-64,M,BLACK,25-44,M,WHITE,"1,017,719","260,875",40.882661,-73.878964,POINT (-73.878964 40.882661)
298672095,12/30/2024,20:32:00,BRONX,INSIDE,41,0.0,DWELLING,MULTI DWELL - APT BUILD,True,18-24,M,BLACK,25-44,M,BLACK,"1,012,201","240,878",40.827795,-73.899003,POINT (-73.899003 40.827795)
298672097,12/30/2024,18:48:00,BROOKLYN,OUTSIDE,60,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,45-64,M,BLACK,"989,372","155,205",40.592685,-73.981557,POINT (-73.981557 40.592685)
298607139,12/28/2024,2:53:00,MANHATTAN,INSIDE,18,0.0,DWELLING,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,25-44,M,BLACK,"987,578","216,989",40.762269,-73.987986,POINT (-73.987986 40.762269)
298607139,12/28/2024,2:53:00,MANHATTAN,INSIDE,18,0.0,DWELLING,MULTI DWELL - APT BUILD,True,18-24,F,BLACK,25-44,M,BLACK,"987,578","216,989",40.762269,-73.987986,POINT (-73.987986 40.762269)
298566035,12/27/2024,20:42:00,BRONX,OUTSIDE,40,0.0,STREET,,False,<18,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,"1,006,789","237,559",40.818691,-73.918569,POINT (-73.918569 40.818691)
298566035,12/27/2024,20:42:00,BRONX,OUTSIDE,40,0.0,STREET,,False,<18,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,"1,006,789","237,559",40.818691,-73.918569,POINT (-73.918569 40.818691)
298508438,12/26/2024,20:37:00,BRONX,OUTSIDE,40,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK,"1,006,844","232,758",40.805523,-73.918387,POINT (-73.918387 40.805523)
